Sample,Experiment,Structure,Type,Replicate,ReadsSum
1,GM17-OE,Primary,Segment,A,804304
2,GM17-OE,Primary,Hair,A,925988
3,GM17-OE,Primary,Tip,A,2348947
4,GM17-OE,Secondary,Segment,A,383799
5,GM17-OE,Secondary,Hair,A,546077
6,GM17-OE,Secondary,Tip,A,1542724
7,GM17-OE,Tertiary,Segment,A,1370114
8,GM17-OE,Tertiary,Hair,A,1748075
9,GM17-OE,Tertiary,Tip,A,766836
10,GM17-OE,Primary,Segment,B,955511
11,GM17-OE,Primary,Hair,B,716068
12,GM17-OE,Primary,Tip,B,348912
13,GM17-OE,Secondary,Segment,B,427760
14,GM17-OE,Secondary,Hair,B,362196
15,GM17-OE,Secondary,Tip,B,1056934
16,GM17-OE,Tertiary,Segment,B,503499
17,GM17-OE,Tertiary,Hair,B,631016
18,GM17-OE,Tertiary,Tip,B,840008
19,GM17-OE,Primary,Segment,C,661717
20,GM17-OE,Primary,Hair,C,1671944
21,GM17-OE,Primary,Tip,C,733802
22,GM17-OE,Secondary,Segment,C,1202715
23,GM17-OE,Secondary,Hair,C,646115
24,GM17-OE,Secondary,Tip,C,1337754
25,GM17-OE,Tertiary,Segment,C,365989
26,GM17-OE,Tertiary,Hair,C,1340927
27,GM17-OE,Tertiary,Tip,C,974589
28,GM17-OE,Primary,Segment,D,558497
29,GM17-OE,Primary,Hair,D,1262460
30,GM17-OE,Primary,Tip,D,2038237
31,GM17-OE,Secondary,Segment,D,978655
32,GM17-OE,Secondary,Hair,D,1597916
33,GM17-OE,Secondary,Tip,D,1210408
34,GM17-OE,Tertiary,Segment,D,1710147
35,GM17-OE,Tertiary,Hair,D,1208313
36,GM17-OE,Tertiary,Tip,D,806344
37,InocGM17,Inoculum,Inoculum,A,1794957
